ts,split,track,season,round,seed,episode_idx,return,episode_length,pit_count,avg_lap_time,final_position
2026-02-27T07:04:48,val_pre,Austin,2018,1,20250601,0,-175.0026388168335,55,55,119.348356140755,20
2026-02-27T07:04:49,val_pre,Austin,2018,1,20250601,1,-184.3912742137909,55,55,120.87456898598622,20
2026-02-27T07:04:50,val_pre,Austin,2018,1,20250601,2,-186.04348301887512,55,55,121.14315123058876,20
2026-02-27T07:04:50,val_pre,Austin,2018,1,20250601,3,-111.38922560214996,55,20,109.0073861607888,20
2026-02-27T07:04:51,val_pre,Austin,2018,1,20250601,4,-83.33598977327347,55,10,104.44706377079376,20
2026-02-27T07:04:52,val_pre,Austin,2018,1,20250601,5,-64.7563019990921,55,2,101.42675750526989,8
2026-02-27T07:04:53,val_pre,Austin,2018,1,20250601,6,-186.75533533096313,55,55,121.25886978491961,20
2026-02-27T07:04:53,val_pre,Austin,2018,1,20250601,7,-174.16144001483917,55,55,119.21161117410291,20
2026-02-27T07:04:54,val_pre,Austin,2018,1,20250601,8,-112.27894043922424,55,20,109.15201786532552,20
2026-02-27T07:04:55,val_pre,Austin,2018,1,20250601,9,-182.5514862537384,55,55,120.57549382414399,20
2026-02-27T07:04:56,val_pre,Austin,2018,1,20250601,10,-181.72532320022583,55,55,120.44119302612349,20
2026-02-27T07:04:57,val_pre,Austin,2018,1,20250601,11,-187.3411464691162,55,55,121.35409890557128,20
2026-02-27T07:04:58,val_pre,Austin,2018,1,20250601,12,-183.0035698413849,55,49,120.64898417495453,20
2026-02-27T07:04:58,val_pre,Austin,2018,1,20250601,13,-83.35410207509995,55,10,104.4500080831836,20
2026-02-27T07:04:59,val_pre,Austin,2018,1,20250601,14,-185.20404493808746,55,55,121.0066925171284,20
2026-02-27T07:05:00,val_pre,Austin,2018,1,20250601,15,-146.81483805179596,55,34,114.76615913090122,20
2026-02-27T07:05:01,val_pre,Austin,2018,1,20250601,16,-193.2744951248169,55,55,122.31862148478292,20
2026-02-27T07:05:02,val_pre,Austin,2018,1,20250601,17,-65.50988537073135,55,2,101.54925974481463,8
2026-02-27T07:05:02,val_pre,Austin,2018,1,20250601,18,-69.16828882694244,55,4,102.14396828249805,15
2026-02-27T07:05:03,val_pre,Austin,2018,1,20250601,19,-72.01238566637039,55,4,102.60630346503035,20
2026-02-27T07:05:04,val_pre,Baku,2018,1,20250601,0,-215.5912516117096,50,50,128.62000735646248,20
2026-02-27T07:05:05,val_pre,Baku,2018,1,20250601,1,-216.05504059791565,50,50,128.42591967219442,20
2026-02-27T07:05:06,val_pre,Baku,2018,1,20250601,2,-204.69188034534454,50,42,125.83997062804752,20
2026-02-27T07:05:07,val_pre,Baku,2018,1,20250601,3,-158.22951757907867,50,18,117.80879774376066,20
2026-02-27T07:05:07,val_pre,Baku,2018,1,20250601,4,-122.71589589118958,50,5,111.18139056080007,19
2026-02-27T07:05:08,val_pre,Baku,2018,1,20250601,5,-214.08776187896729,50,50,128.62817958849172,20
2026-02-27T07:05:09,val_pre,Baku,2018,1,20250601,6,-169.56662106513977,50,31,121.2211472755739,20
2026-02-27T07:05:10,val_pre,Baku,2018,1,20250601,7,-227.00724935531616,50,50,131.49242431254567,20
2026-02-27T07:05:10,val_pre,Baku,2018,1,20250601,8,-210.94331192970276,50,50,127.23484367077258,20
2026-02-27T07:05:11,val_pre,Baku,2018,1,20250601,9,-111.51855707168579,50,2,109.73317188614024,8
2026-02-27T07:05:12,val_pre,Baku,2018,1,20250601,10,-120.45431470870972,50,3,109.94592509654034,8
2026-02-27T07:05:13,val_pre,Baku,2018,1,20250601,11,-170.85650622844696,50,31,121.45179884783029,20
2026-02-27T07:05:13,val_pre,Baku,2018,1,20250601,12,-210.93525743484497,50,50,127.51042314231961,20
2026-02-27T07:05:14,val_pre,Baku,2018,1,20250601,13,-216.58368587493896,50,50,128.52044999007975,20
2026-02-27T07:05:15,val_pre,Baku,2018,1,20250601,14,-217.64104461669922,50,50,128.43250230158242,20
2026-02-27T07:05:16,val_pre,Baku,2018,1,20250601,15,-210.82891011238098,50,50,127.49140676948328,20
2026-02-27T07:05:16,val_pre,Baku,2018,1,20250601,16,-173.62290716171265,50,31,121.39243469678551,20
2026-02-27T07:05:17,val_pre,Baku,2018,1,20250601,17,-217.5697362422943,50,50,128.97379108416274,20
2026-02-27T07:05:18,val_pre,Baku,2018,1,20250601,18,-123.78078067302704,50,9,111.37180855507575,20
2026-02-27T07:05:18,val_pre,Baku,2018,1,20250601,19,-111.52096137404442,50,2,109.45658203045357,6
2026-02-27T07:05:19,val_pre,Budapest,2018,1,20250601,0,-107.12077462673187,69,69,104.37885492683601,20
2026-02-27T07:05:20,val_pre,Budapest,2018,1,20250601,1,-98.53205245733261,69,58,102.66374152850803,20
2026-02-27T07:05:21,val_pre,Budapest,2018,1,20250601,2,-127.8320984840393,69,69,106.46033839364001,20
2026-02-27T07:05:22,val_pre,Budapest,2018,1,20250601,3,-129.7162870168686,69,69,106.7044848522198,20
2026-02-27T07:05:23,val_pre,Budapest,2018,1,20250601,4,-113.49571740627289,69,69,104.60268055302771,20
2026-02-27T07:05:24,val_pre,Budapest,2018,1,20250601,5,-114.23508262634277,69,69,104.69848483120434,20
2026-02-27T07:05:25,val_pre,Budapest,2018,1,20250601,6,14.341745376586914,69,13,88.43943008577725,20
2026-02-27T07:05:27,val_pre,Budapest,2018,1,20250601,7,-98.01282995939255,69,58,102.59646243603947,20
2026-02-27T07:05:28,val_pre,Budapest,2018,1,20250601,8,31.740997314453125,69,2,85.58267925018323,16
2026-02-27T07:05:29,val_pre,Budapest,2018,1,20250601,9,-121.59908401966095,69,69,105.6526862936471,20
2026-02-27T07:05:30,val_pre,Budapest,2018,1,20250601,10,-113.39762496948242,69,69,104.58997005227755,20
2026-02-27T07:05:31,val_pre,Budapest,2018,1,20250601,11,28.52239567041397,69,2,86.80269031434035,20
2026-02-27T07:05:32,val_pre,Budapest,2018,1,20250601,12,-122.12783420085907,69,69,105.72119982129121,20
2026-02-27T07:05:33,val_pre,Budapest,2018,1,20250601,13,-27.994946390390396,69,37,94.32674762879913,20
2026-02-27T07:05:34,val_pre,Budapest,2018,1,20250601,14,-123.5932606458664,69,69,105.91108463175091,20
2026-02-27T07:05:35,val_pre,Budapest,2018,1,20250601,15,-119.1273785829544,69,69,105.33241135698128,20
2026-02-27T07:05:36,val_pre,Budapest,2018,1,20250601,16,18.89652520418167,69,13,89.0536718351739,20
2026-02-27T07:05:37,val_pre,Budapest,2018,1,20250601,17,-120.2503570318222,69,69,105.47792295926214,20
2026-02-27T07:05:38,val_pre,Budapest,2018,1,20250601,18,-113.30883073806763,69,69,104.57846437721024,20
2026-02-27T07:05:39,val_pre,Budapest,2018,1,20250601,19,26.510386139154434,69,3,86.05970443110373,20
2026-02-27T07:05:40,val_pre,Catalunya,2018,1,20250601,0,-100.61966741085052,65,65,103.46172411845734,20
2026-02-27T07:05:41,val_pre,Catalunya,2018,1,20250601,1,-46.90247690677643,65,41,96.07290214970638,20
2026-02-27T07:05:42,val_pre,Catalunya,2018,1,20250601,2,-102.81244480609894,65,65,103.76334168925437,20
2026-02-27T07:05:43,val_pre,Catalunya,2018,1,20250601,3,-90.57429718971252,65,65,102.0799792588814,20
