ts,split,track,season,round,seed,episode_idx,return,episode_length,pit_count,avg_lap_time,final_position
2026-02-27T04:18:16,val_pre,Austin,2018,1,20250601,0,-175.0026388168335,55,55,119.348356140755,20
2026-02-27T04:18:17,val_pre,Austin,2018,1,20250601,1,-184.3912742137909,55,55,120.87456898598622,20
2026-02-27T04:18:18,val_pre,Austin,2018,1,20250601,2,-186.04348301887512,55,55,121.14315123058876,20
2026-02-27T04:18:19,val_pre,Austin,2018,1,20250601,3,-111.38922560214996,55,20,109.0073861607888,20
2026-02-27T04:18:20,val_pre,Austin,2018,1,20250601,4,-83.33598977327347,55,10,104.44706377079376,20
2026-02-27T04:18:20,val_pre,Austin,2018,1,20250601,5,-64.7563019990921,55,2,101.42675750526989,8
2026-02-27T04:18:21,val_pre,Austin,2018,1,20250601,6,-186.75533533096313,55,55,121.25886978491961,20
2026-02-27T04:18:22,val_pre,Austin,2018,1,20250601,7,-174.16144001483917,55,55,119.21161117410291,20
2026-02-27T04:18:23,val_pre,Austin,2018,1,20250601,8,-112.27894043922424,55,20,109.15201786532552,20
2026-02-27T04:18:24,val_pre,Austin,2018,1,20250601,9,-182.5514862537384,55,55,120.57549382414399,20
2026-02-27T04:18:24,val_pre,Austin,2018,1,20250601,10,-181.72532320022583,55,55,120.44119302612349,20
2026-02-27T04:18:25,val_pre,Austin,2018,1,20250601,11,-187.3411464691162,55,55,121.35409890557128,20
2026-02-27T04:18:26,val_pre,Austin,2018,1,20250601,12,-183.0035698413849,55,49,120.64898417495453,20
2026-02-27T04:18:26,val_pre,Austin,2018,1,20250601,13,-83.35410207509995,55,10,104.4500080831836,20
2026-02-27T04:18:27,val_pre,Austin,2018,1,20250601,14,-185.20404493808746,55,55,121.0066925171284,20
2026-02-27T04:18:28,val_pre,Austin,2018,1,20250601,15,-146.81483805179596,55,34,114.76615913090122,20
2026-02-27T04:18:29,val_pre,Austin,2018,1,20250601,16,-193.2744951248169,55,55,122.31862148478292,20
2026-02-27T04:18:29,val_pre,Austin,2018,1,20250601,17,-65.50988537073135,55,2,101.54925974481463,8
2026-02-27T04:18:30,val_pre,Austin,2018,1,20250601,18,-69.16828882694244,55,4,102.14396828249805,15
2026-02-27T04:18:31,val_pre,Austin,2018,1,20250601,19,-72.01238566637039,55,4,102.60630346503035,20
2026-02-27T04:18:32,val_pre,Baku,2018,1,20250601,0,-215.5912516117096,50,50,128.62000735646248,20
2026-02-27T04:18:32,val_pre,Baku,2018,1,20250601,1,-216.05504059791565,50,50,128.42591967219442,20
2026-02-27T04:18:33,val_pre,Baku,2018,1,20250601,2,-204.69188034534454,50,42,125.83997062804752,20
2026-02-27T04:18:34,val_pre,Baku,2018,1,20250601,3,-158.22951757907867,50,18,117.80879774376066,20
2026-02-27T04:18:35,val_pre,Baku,2018,1,20250601,4,-122.71589589118958,50,5,111.18139056080007,19
2026-02-27T04:18:35,val_pre,Baku,2018,1,20250601,5,-214.08776187896729,50,50,128.62817958849172,20
2026-02-27T04:18:36,val_pre,Baku,2018,1,20250601,6,-169.56662106513977,50,31,121.2211472755739,20
2026-02-27T04:18:37,val_pre,Baku,2018,1,20250601,7,-227.00724935531616,50,50,131.49242431254567,20
2026-02-27T04:18:38,val_pre,Baku,2018,1,20250601,8,-210.94331192970276,50,50,127.23484367077258,20
2026-02-27T04:18:38,val_pre,Baku,2018,1,20250601,9,-111.51855707168579,50,2,109.73317188614024,8
2026-02-27T04:18:39,val_pre,Baku,2018,1,20250601,10,-120.45431470870972,50,3,109.94592509654034,8
2026-02-27T04:18:40,val_pre,Baku,2018,1,20250601,11,-170.85650622844696,50,31,121.45179884783029,20
2026-02-27T04:18:40,val_pre,Baku,2018,1,20250601,12,-210.93525743484497,50,50,127.51042314231961,20
2026-02-27T04:18:41,val_pre,Baku,2018,1,20250601,13,-216.58368587493896,50,50,128.52044999007975,20
2026-02-27T04:18:42,val_pre,Baku,2018,1,20250601,14,-217.64104461669922,50,50,128.43250230158242,20
2026-02-27T04:18:42,val_pre,Baku,2018,1,20250601,15,-210.82891011238098,50,50,127.49140676948328,20
2026-02-27T04:18:43,val_pre,Baku,2018,1,20250601,16,-173.62290716171265,50,31,121.39243469678551,20
2026-02-27T04:18:44,val_pre,Baku,2018,1,20250601,17,-217.5697362422943,50,50,128.97379108416274,20
2026-02-27T04:18:45,val_pre,Baku,2018,1,20250601,18,-123.78078067302704,50,9,111.37180855507575,20
